Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	35.506531568465626	39.0	36.0	40.0	28.0	40.0	ct7
2	35.19942355678067	39.0	36.0	40.0	25.0	40.0	ct7
3	35.34444053714582	39.0	36.0	40.0	25.0	40.0	ct7
4	35.17736851927731	39.0	36.0	40.0	25.0	40.0	ct7
5	35.30799884598159	39.0	36.0	40.0	25.0	40.0	ct7
6	35.096546568619786	39.0	36.0	40.0	23.0	40.0	ct7
7	35.333819188788205	39.0	36.0	40.0	25.0	40.0	ct7
8	35.30534734420118	39.0	36.0	40.0	25.0	40.0	ct7
9	35.210337878062795	39.0	36.0	40.0	25.0	40.0	ct7
10	35.21738799519983	39.0	36.0	40.0	25.0	40.0	ct7
11	35.513486361417776	39.0	36.0	40.0	27.0	40.0	ct7
12	35.33804041179452	39.0	36.0	40.0	26.0	40.0	ct7
13	35.20660593622425	39.0	36.0	40.0	25.0	40.0	ct7
14	35.28946395189346	39.0	36.0	40.0	26.0	40.0	ct7
15	34.71676041949195	39.0	35.0	40.0	22.0	40.0	ct7
16	35.34532779678552	39.0	36.0	40.0	26.0	40.0	ct7
17	35.1128358334335	39.0	35.0	40.0	26.0	40.0	ct7
18	35.13923515054391	39.0	36.0	40.0	26.0	40.0	ct7
19	35.02797917346262	39.0	35.0	40.0	26.0	40.0	ct7
20	34.99680663501023	39.0	35.0	40.0	26.0	40.0	ct7
21	34.975522978354675	39.0	35.0	40.0	25.0	40.0	ct7
22	35.33258588999246	39.0	36.0	40.0	27.0	40.0	ct7
23	34.823306145476934	39.0	35.0	40.0	25.0	40.0	ct7
24	34.83324119141885	39.0	35.0	40.0	26.0	40.0	ct7
25	34.7741243202959	39.0	35.0	40.0	25.0	40.0	ct7
26	34.604022208039616	38.0	35.0	40.0	26.0	40.0	ct7
27	35.0423991566676	39.0	35.0	40.0	27.0	40.0	ct7
28	34.65328378583346	38.0	35.0	40.0	25.0	40.0	ct7
