Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	38.97708503275824	40.0	39.0	40.0	38.0	40.0	pt5
2	38.83606639483529	40.0	39.0	40.0	37.0	40.0	pt5
3	38.786904709690184	40.0	39.0	40.0	37.0	40.0	pt5
4	38.8223596850413	40.0	39.0	40.0	37.0	40.0	pt5
5	38.84918434307982	40.0	39.0	40.0	37.0	40.0	pt5
6	38.77571747413251	40.0	39.0	40.0	36.0	40.0	pt5
7	38.698126114102905	40.0	39.0	40.0	36.0	40.0	pt5
8	38.79309704855023	40.0	39.0	40.0	36.0	40.0	pt5
9	38.70120447129347	40.0	39.0	40.0	36.0	40.0	pt5
10	38.683452850906384	40.0	39.0	40.0	36.0	40.0	pt5
11	38.67800211410214	40.0	39.0	40.0	36.0	40.0	pt5
12	38.67268592674113	40.0	39.0	40.0	36.0	40.0	pt5
13	38.65387993669568	40.0	39.0	40.0	36.0	40.0	pt5
14	38.59144095079819	40.0	38.0	40.0	36.0	40.0	pt5
15	38.4401958848364	40.0	38.0	40.0	35.0	40.0	pt5
16	38.60527924132884	40.0	38.0	40.0	36.0	40.0	pt5
17	38.55275669304474	40.0	38.0	40.0	36.0	40.0	pt5
18	38.33058091486144	40.0	38.0	40.0	35.0	40.0	pt5
19	38.54823571566946	40.0	38.0	40.0	36.0	40.0	pt5
20	38.358511598926626	40.0	38.0	40.0	35.0	40.0	pt5
21	38.35851339593692	40.0	38.0	40.0	35.0	40.0	pt5
22	38.31317866211065	40.0	38.0	40.0	35.0	40.0	pt5
23	38.186896088749805	39.0	38.0	40.0	35.0	40.0	pt5
24	37.767917261387026	39.0	38.0	40.0	33.0	40.0	pt5
25	38.196021141741426	39.0	38.0	40.0	35.0	40.0	pt5
26	38.24665002705724	39.0	38.0	40.0	35.0	40.0	pt5
27	37.945982732897406	39.0	38.0	40.0	34.0	40.0	pt5
28	37.844849135186585	39.0	38.0	40.0	33.0	40.0	pt5
29	37.9341915973775	39.0	38.0	40.0	35.0	40.0	pt5
30	37.48044572055008	39.0	37.0	40.0	33.0	40.0	pt5
31	37.43409225340796	39.0	37.0	40.0	33.0	40.0	pt5
32	37.41056671268672	39.0	37.0	40.0	33.0	40.0	pt5
33	37.70649382026144	39.0	38.0	40.0	33.0	40.0	pt5
34	37.172168146961454	39.0	37.0	40.0	33.0	40.0	pt5
35	36.575398542210664	38.0	36.0	40.0	32.0	40.0	pt5
36	36.60939183060264	38.0	36.0	40.0	32.0	40.0	pt5
37	36.698454254561504	39.0	36.0	40.0	32.0	40.0	pt5
38	36.69744645567486	38.0	36.0	40.0	32.0	40.0	pt5
39	36.26222273349996	38.0	35.0	40.0	31.0	40.0	pt5
40	35.79858412732209	38.0	35.0	40.0	30.0	40.0	pt5
41	35.764026760539885	38.0	35.0	40.0	30.0	40.0	pt5
42	35.876444965655885	38.0	35.0	40.0	30.0	40.0	pt5
43	36.08886414817439	38.0	35.0	40.0	30.0	40.0	pt5
44	35.86885100337418	38.0	35.0	40.0	30.0	40.0	pt5
45	35.753100418113526	38.0	35.0	40.0	30.0	40.0	pt5
46	35.931931515957444	38.0	35.0	40.0	31.0	40.0	pt5
47	35.77400662251656	38.0	35.0	39.0	31.0	40.0	pt5
48	35.514546831062084	38.0	35.0	39.0	30.0	40.0	pt5
49	35.42037486515642	38.0	35.0	39.0	30.0	40.0	pt5
50	35.60254934210526	38.0	35.0	39.0	30.0	40.0	pt5
51	35.5101083032491	38.0	35.0	39.0	30.0	40.0	pt5
52	35.30386359156318	38.0	34.0	40.0	29.0	40.0	pt5
53	35.20262962570247	38.0	34.0	39.0	29.0	40.0	pt5
54	35.27383487106695	38.0	34.0	39.0	29.0	40.0	pt5
55	35.28591459528362	38.0	34.0	39.0	29.0	40.0	pt5
56	35.4310766721044	38.0	34.0	39.0	30.0	40.0	pt5
57	35.27110481586402	38.0	34.0	39.0	29.0	40.0	pt5
58	35.10326086956522	38.0	34.0	39.0	29.0	40.0	pt5
59	35.08531974354759	38.0	33.0	39.0	29.0	40.0	pt5
60	35.41533201367644	38.0	34.0	39.0	30.0	40.0	pt5
61	35.7133563732466	38.0	35.0	39.0	31.0	40.0	pt5
62	35.83708791208791	38.0	35.0	39.0	31.0	40.0	pt5
63	35.63510711817553	38.0	35.0	39.0	31.0	40.0	pt5
64	35.71435406698565	38.0	35.0	39.0	31.0	40.0	pt5
65	35.03286978508218	37.0	34.0	39.0	29.0	40.0	pt5
66	35.28657616892911	38.0	35.0	39.0	31.0	40.0	pt5
67	34.88973384030418	37.0	34.0	39.0	30.0	40.0	pt5
68	33.57492354740061	36.0	33.0	38.0	27.0	40.0	pt5
